mes_ref;indice;inicio_coleta;fim_coleta;data_divulgacao
ago/18;ipca15;13/07/2018;13/08/2018;23/08/2018
set/18;ipca15;14/08/2018;13/09/2018;21/09/2018
out/18;ipca15;14/09/2018;11/10/2018;23/10/2018
nov/18;ipca15;12/10/2018;12/11/2018;23/11/2018
dez/18;ipca15;13/11/2018;12/12/2018;21/12/2018
jan/18;ipca/inpc;29/12/2017;29/01/2018;08/02/2018
fev/18;ipca/inpc;30/01/2018;01/03/2018;09/03/2018
mar/18;ipca/inpc;02/03/2018;29/03/2018;10/04/2018
abr/18;ipca/inpc;30/03/2018;27/04/2018;10/05/2018
mai/18;ipca/inpc;28/04/2018;29/05/2018;08/06/2018
jun/18;ipca/inpc;30/05/2018;27/06/2018;06/07/2018
jul/18;ipca/inpc;28/06/2018;27/07/2018;08/08/2018
ago/18;ipca/inpc;28/07/2018;29/08/2018;06/09/2018
set/18;ipca/inpc;30/08/2018;27/09/2018;05/10/2018
out/18;ipca/inpc;28/09/2018;26/10/2018;07/11/2018
nov/18;ipca/inpc;27/10/2018;28/11/2018;07/12/2018
dez/18;ipca/inpc;29/11/2018;28/12/2018;11/01/2019
jan/19;ipca15;13/12/2018;15/01/2019;23/01/2019
fev/19;ipca15;16/01/2019;12/02/2019;21/02/2019
mar/19;ipca15;13/02/2019;15/03/2019;26/03/2019
abr/19;ipca15;16/03/2019;12/04/2019;25/04/2019
mai/19;ipca15;13/04/2019;15/05/2019;24/05/2019
jun/19;ipca15;16/05/2019;12/06/2019;25/06/2019
jul/19;ipca15;13/06/2019;12/07/2019;23/07/2019
ago/19;ipca15;13/07/2019;13/08/2019;22/08/2019
set/19;ipca15;14/08/2019;12/09/2019;24/09/2019
out/19;ipca15;13/09/2019;11/10/2019;22/10/2019
nov/19;ipca15;12/10/2019;11/11/2019;22/11/2019
dez/19;ipca15;12/11/2019;11/12/2019;20/12/2019
jan/19;ipca/inpc;29/12/2018;29/01/2019;08/02/2019
fev/19;ipca/inpc;30/01/2019;26/02/2019;12/03/2019
mar/19;ipca/inpc;27/02/2019;29/03/2019;10/04/2019
abr/19;ipca/inpc;30/03/2019;30/04/2019;10/05/2019
mai/19;ipca/inpc;01/05/2019;29/05/2019;07/06/2019
jun/19;ipca/inpc;30/05/2019;28/06/2019;10/07/2019
jul/19;ipca/inpc;29/06/2019;29/07/2019;08/08/2019
ago/19;ipca/inpc;30/07/2019;27/08/2019;06/09/2019
set/19;ipca/inpc;28/08/2019;27/09/2019;09/10/2019
out/19;ipca/inpc;28/09/2019;28/10/2019;07/11/2019
nov/19;ipca/inpc;29/10/2019;27/11/2019;06/12/2019
dez/19;ipca/inpc;28/11/2019;27/12/2019;10/01/2020
jan/20;ipca15;12/12/2019;14/01/2020;23/01/2020
fev/20;ipca15;15/01/2020;11/02/2020;20/02/2020
